Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,107.90,92.70,98.40,+73.55,170,47,0.00%,02/06/26,"6,835.00",Put,4.60,4.40,4.70,-67.20,"2,190",203,16.11%,02/06/26
Call,93.60,88.10,93.90,+65.25,323,110,0.00%,02/06/26,"6,840.00",Put,5.16,4.80,5.20,-75.82,"2,365",205,16.06%,02/06/26
Call,81.17,83.70,89.20,+50.97,235,160,0.00%,02/06/26,"6,845.00",Put,5.40,5.30,5.60,-69.21,"1,822",633,15.68%,02/06/26
Call,82.13,81.40,82.80,+57.63,"2,222","1,871",0.00%,02/06/26,"6,850.00",Put,6.00,5.90,6.20,-71.50,"7,821","1,940",15.58%,02/06/26
Call,79.91,74.80,80.50,+50.33,338,147,9.81%,02/06/26,"6,855.00",Put,6.60,6.40,6.80,-75.40,"1,812",251,15.44%,02/06/26
Call,75.80,70.40,75.90,+51.15,812,330,10.57%,02/06/26,"6,860.00",Put,7.50,7.00,7.40,-78.63,"4,533",387,15.25%,02/06/26
Call,69.34,66.00,71.80,+46.03,530,120,7.76%,02/06/26,"6,865.00",Put,7.80,7.70,8.10,-91.27,"2,487","1,014",15.03%,02/06/26
Call,64.83,61.90,67.40,+43.93,967,170,8.18%,02/06/26,"6,870.00",Put,9.10,8.40,8.80,-90.57,"4,724",355,14.90%,02/06/26
Call,60.10,57.70,63.40,+41.03,"3,981","2,388",8.06%,02/06/26,"6,875.00",Put,9.35,9.30,9.60,-86.93,"4,859","2,427",14.69%,02/06/26
Call,56.28,53.60,59.00,+38.71,"1,717",172,8.85%,02/06/26,"6,880.00",Put,10.20,10.10,10.50,-95.71,"4,302",402,14.50%,02/06/26
Call,52.78,51.10,54.20,+37.98,"1,127",124,9.56%,02/06/26,"6,885.00",Put,11.30,11.10,11.50,-91.92,"2,225",166,14.42%,02/06/26
Call,48.88,47.90,49.10,+33.28,"1,492",993,9.73%,02/06/26,"6,890.00",Put,12.90,12.10,12.60,-99.43,"3,145","1,075",14.25%,02/06/26
Call,44.62,44.40,44.90,+31.52,"1,676",146,9.54%,02/06/26,"6,895.00",Put,13.54,13.30,13.80,-104.36,"2,092",255,14.11%,02/06/26
Call,39.96,40.70,41.20,+27.21,"6,674","1,003",9.65%,02/06/26,"6,900.00",Put,15.20,14.60,15.00,-109.80,"5,688","2,092",13.95%,02/06/26
Call,36.36,37.00,37.60,+23.97,"1,826",221,9.66%,02/06/26,"6,905.00",Put,16.25,15.90,16.40,-97.25,"2,006",228,13.83%,02/06/26
Call,33.53,33.50,34.10,+23.69,"2,845",219,9.51%,02/06/26,"6,910.00",Put,17.80,17.50,17.90,-110.05,"3,148","1,230",13.70%,02/06/26
Call,29.75,30.20,30.70,+20.85,"2,702",281,9.65%,02/06/26,"6,915.00",Put,19.18,19.10,19.60,-104.59,"3,407",419,13.43%,02/06/26
Call,27.00,27.00,27.50,+19.00,"5,584",452,9.48%,02/06/26,"6,920.00",Put,21.00,20.90,21.40,-111.12,"3,366",406,13.31%,02/06/26
Call,23.95,23.90,24.40,+16.53,"5,078",289,9.43%,02/06/26,"6,925.00",Put,22.90,22.80,23.30,-115.57,"2,708",861,13.17%,02/06/26
Call,21.70,21.00,21.50,+15.70,"4,985",360,9.46%,02/06/26,"6,930.00",Put,25.00,24.90,25.40,-117.27,"1,884",235,13.06%,02/06/26
Call,18.82,18.30,18.80,+13.22,"4,002",174,9.38%,02/06/26,"6,935.00",Put,28.70,27.10,27.70,-117.43,"1,560","1,024",13.01%,02/06/26
Call,16.32,15.70,16.20,+11.67,"4,683",405,9.25%,02/06/26,"6,940.00",Put,29.65,29.60,30.10,-125.39,"1,698",406,12.83%,02/06/26
Call,14.11,13.40,13.80,+10.06,"2,861",195,9.14%,02/06/26,"6,945.00",Put,32.50,32.20,32.70,-113.19,"2,077",306,12.86%,02/06/26
Call,11.80,11.30,11.60,+8.27,"7,367","1,462",9.01%,02/06/26,"6,950.00",Put,36.70,35.00,35.60,-134.97,"1,068",997,12.79%,02/06/26
