Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
99.96,101.55,11.73%,0.9537,0.0016,-2.1109,0.4980,01/30/26,"6,840.00",5.10,5.10,16.80%,-0.1196,0.0023,-4.2281,1.0252,01/30/26
86.09,96.80,11.72%,0.9452,0.0018,-2.3143,0.5699,01/30/26,"6,845.00",5.81,5.81,16.86%,-0.1326,0.0025,-4.5590,1.1018,01/30/26
94.64,92.60,12.43%,0.9235,0.0022,-2.9237,0.7379,01/30/26,"6,850.00",6.10,6.35,16.72%,-0.1436,0.0026,-4.7673,1.1628,01/30/26
78.23,87.90,12.29%,0.9140,0.0025,-3.0998,0.8061,01/30/26,"6,855.00",6.67,6.90,16.54%,-0.1548,0.0028,-4.9576,1.2229,01/30/26
84.61,84.61,13.57%,0.8781,0.0029,-4.1222,1.0388,01/30/26,"6,860.00",7.22,7.50,16.37%,-0.1669,0.0030,-5.1484,1.2844,01/30/26
78.11,78.11,11.43%,0.9024,0.0029,-3.1481,0.8857,01/30/26,"6,865.00",7.80,8.20,16.23%,-0.1804,0.0032,-5.3591,1.3495,01/30/26
73.94,75.20,12.88%,0.8586,0.0034,-4.2939,1.1510,01/30/26,"6,870.00",8.60,8.90,16.04%,-0.1941,0.0033,-5.5406,1.4122,01/30/26
76.72,70.75,12.71%,0.8440,0.0037,-4.4827,1.2290,01/30/26,"6,875.00",9.93,9.70,15.89%,-0.2092,0.0035,-5.7338,1.4769,01/30/26
65.89,65.89,12.17%,0.8352,0.0040,-4.4491,1.2742,01/30/26,"6,880.00",10.12,10.55,15.72%,-0.2251,0.0037,-5.9130,1.5406,01/30/26
63.62,63.62,13.46%,0.7909,0.0042,-5.5118,1.4768,01/30/26,"6,885.00",11.02,11.50,15.57%,-0.2422,0.0039,-6.0939,1.6046,01/30/26
59.49,58.70,12.79%,0.7807,0.0045,-5.3889,1.5179,01/30/26,"6,890.00",11.98,12.50,15.40%,-0.2601,0.0041,-6.2537,1.6664,01/30/26
