Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,50.82,47.60,50.50,-0.15,6,29,81.11%,02/06/26,275.00,Put,0.12,0.09,0.11,-0.07,813,354,56.79%,02/06/26
Call,66.60,45.65,48.10,unch,0,6,83.77%,02/02/26,277.50,Put,0.11,0.11,0.13,-0.10,89,83,54.72%,02/06/26
Call,42.85,42.65,45.55,-5.38,21,36,74.78%,02/06/26,280.00,Put,0.14,0.13,0.15,-0.08,283,562,53.76%,02/06/26
Call,44.50,40.20,43.10,unch,0,12,72.04%,02/05/26,282.50,Put,0.18,0.15,0.18,-0.18,29,65,52.90%,02/06/26
Call,40.45,37.50,40.20,-0.05,11,61,62.30%,02/06/26,285.00,Put,0.20,0.19,0.21,-0.12,693,440,50.81%,02/06/26
Call,35.90,35.00,38.15,unch,0,14,63.24%,02/05/26,287.50,Put,0.20,0.23,0.26,-0.13,81,72,49.51%,02/06/26
Call,33.07,32.50,35.70,-3.30,7,64,60.00%,02/06/26,290.00,Put,0.29,0.28,0.31,-0.14,904,"1,552",47.88%,02/06/26
Call,0.00,30.40,33.30,unch,0,0,60.21%,N/A,292.50,Put,0.37,0.34,0.38,-0.19,280,84,46.91%,02/06/26
Call,29.00,27.55,30.95,-7.64,8,64,50.96%,02/06/26,295.00,Put,0.43,0.43,0.47,-0.12,"1,022","1,325",45.05%,02/06/26
Call,26.75,25.45,27.60,-5.76,6,3,51.07%,02/06/26,297.50,Put,0.53,0.54,0.58,-0.18,556,208,44.27%,02/06/26
Call,24.15,23.30,25.00,-8.10,113,86,45.84%,02/06/26,300.00,Put,0.68,0.68,0.72,-0.10,"2,242","2,457",42.77%,02/06/26
Call,22.70,21.05,22.85,-2.20,15,17,53.88%,02/06/26,302.50,Put,0.85,0.86,0.90,-0.10,508,253,41.97%,02/06/26
Call,19.53,19.40,19.75,-9.37,260,175,42.64%,02/06/26,305.00,Put,1.07,1.09,1.14,-0.02,"2,619","2,329",40.97%,02/06/26
Call,16.77,16.35,18.35,-8.95,61,86,35.67%,02/06/26,307.50,Put,1.31,1.38,1.44,-0.05,614,168,39.98%,02/06/26
Call,15.50,15.05,15.75,-7.81,316,253,42.86%,02/06/26,310.00,Put,1.70,1.75,1.81,+0.09,"2,405","1,341",39.02%,02/06/26
Call,13.26,13.05,13.20,-7.74,158,180,38.99%,02/06/26,312.50,Put,2.22,2.22,2.28,+0.26,"1,282",559,37.93%,02/06/26
Call,12.50,11.10,11.30,-7.00,502,692,38.04%,02/06/26,315.00,Put,2.81,2.80,2.87,+0.36,"2,165","1,400",37.19%,02/06/26
Call,10.70,9.35,9.50,-6.45,259,689,37.30%,02/06/26,317.50,Put,3.55,3.55,3.60,+0.30,728,531,36.60%,02/06/26
Call,8.00,7.75,7.85,-7.90,"1,529",962,36.62%,02/06/26,320.00,Put,4.40,4.40,4.50,+1.05,"2,876","1,011",35.80%,02/06/26
Call,6.40,6.30,6.40,-7.40,"3,515",411,36.37%,02/06/26,322.50,Put,5.37,5.45,5.55,+1.37,"2,392","6,176",35.57%,02/06/26
Call,5.14,5.05,5.15,-6.76,"6,688","1,219",35.98%,02/06/26,325.00,Put,6.50,6.70,6.80,+1.70,"2,205","3,922",35.23%,02/06/26
Call,4.09,4.00,4.05,-6.86,"3,022",549,35.45%,02/06/26,327.50,Put,7.85,8.10,8.25,+1.88,"1,097",395,34.92%,02/06/26
Call,3.16,3.10,3.20,-6.19,"6,960","1,668",35.47%,02/06/26,330.00,Put,9.60,9.70,9.90,+2.95,901,"6,064",34.83%,02/06/26
Call,2.43,2.38,2.44,-5.12,"1,085",905,35.41%,02/06/26,332.50,Put,10.21,11.50,11.70,+1.96,146,361,34.90%,02/06/26
Call,1.83,1.80,1.86,-4.57,"14,264","2,402",35.29%,02/06/26,335.00,Put,13.24,13.45,13.65,+4.19,297,"1,433",35.10%,02/06/26
Call,1.43,1.36,1.41,-3.95,"4,459",855,35.49%,02/06/26,337.50,Put,13.91,14.80,16.20,+2.88,132,305,34.21%,02/06/26
