Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
50.82,49.05,81.11%,0.9460,0.0033,-0.3304,0.0454,02/06/26,275.00,0.12,0.10,56.79%,-0.0120,0.0013,-0.0609,0.0129,02/06/26
66.60,46.88,83.77%,0.9299,0.0039,-0.4116,0.0556,02/02/26,277.50,0.11,0.11,54.72%,-0.0135,0.0015,-0.0651,0.0144,02/06/26
42.85,44.10,74.78%,0.9390,0.0039,-0.3349,0.0499,02/06/26,280.00,0.14,0.14,53.76%,-0.0171,0.0019,-0.0780,0.0175,02/06/26
44.50,41.65,72.04%,0.9339,0.0043,-0.3429,0.0532,02/05/26,282.50,0.18,0.18,52.90%,-0.0216,0.0024,-0.0939,0.0214,02/06/26
40.45,38.85,62.30%,0.9471,0.0042,-0.2563,0.0447,02/06/26,285.00,0.20,0.20,50.81%,-0.0246,0.0027,-0.1005,0.0239,02/06/26
35.90,36.58,63.24%,0.9315,0.0050,-0.3125,0.0547,02/05/26,287.50,0.20,0.24,49.51%,-0.0301,0.0033,-0.1158,0.0283,02/06/26
33.07,34.10,60.00%,0.9265,0.0056,-0.3129,0.0577,02/06/26,290.00,0.29,0.29,47.88%,-0.0360,0.0040,-0.1296,0.0327,02/06/26
0.00,31.85,60.21%,0.9090,0.0066,-0.3643,0.0678,N/A,292.50,0.37,0.37,46.91%,-0.0452,0.0049,-0.1529,0.0394,02/06/26
29.00,29.00,50.96%,0.9242,0.0068,-0.2758,0.0591,02/06/26,295.00,0.43,0.43,45.05%,-0.0534,0.0058,-0.1674,0.0450,02/06/26
26.75,26.75,51.07%,0.9035,0.0081,-0.3257,0.0708,02/06/26,297.50,0.53,0.56,44.27%,-0.0679,0.0072,-0.1984,0.0543,02/06/26
24.15,24.15,45.84%,0.9033,0.0090,-0.2954,0.0709,02/06/26,300.00,0.68,0.68,42.77%,-0.0823,0.0086,-0.2220,0.0629,02/06/26
22.70,22.70,53.88%,0.8404,0.0109,-0.4745,0.1006,02/06/26,302.50,0.85,0.88,41.97%,-0.1037,0.0104,-0.2582,0.0747,02/06/26
19.53,19.53,42.64%,0.8626,0.0124,-0.3473,0.0910,02/06/26,305.00,1.07,1.11,40.97%,-0.1285,0.0124,-0.2932,0.0869,02/06/26
16.77,16.77,35.67%,0.8680,0.0145,-0.2874,0.0885,02/06/26,307.50,1.31,1.41,39.98%,-0.1584,0.0146,-0.3292,0.1001,02/06/26
15.50,15.50,42.86%,0.7854,0.0164,-0.4537,0.1209,02/06/26,310.00,1.70,1.78,39.02%,-0.1942,0.0170,-0.3650,0.1139,02/06/26
13.26,13.13,38.99%,0.7591,0.0193,-0.4406,0.1290,02/06/26,312.50,2.22,2.22,37.93%,-0.2356,0.0196,-0.3963,0.1275,02/06/26
12.50,11.20,38.04%,0.7110,0.0217,-0.4689,0.1416,02/06/26,315.00,2.81,2.81,37.19%,-0.2855,0.0221,-0.4282,0.1407,02/06/26
10.70,9.43,37.30%,0.6558,0.0238,-0.4926,0.1525,02/06/26,317.50,3.55,3.55,36.60%,-0.3423,0.0243,-0.4547,0.1522,02/06/26
8.00,7.80,36.62%,0.5951,0.0256,-0.5069,0.1605,02/06/26,320.00,4.40,4.40,35.80%,-0.4040,0.0262,-0.4676,0.1604,02/06/26
