Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,140.41,96.10,97.90,+62.77,1,"14,994",0.00%,12/18/25,"6,675.00",Call,115.22,96.90,100.70,+42.02,6,259,0.00%,12/18/25
Call,123.40,91.20,93.00,+48.64,10,"6,495",0.00%,12/18/25,"6,680.00",Call,97.20,92.10,96.10,+25.80,23,283,0.00%,12/18/25
Call,87.27,86.40,88.10,+16.51,2,"6,869",0.00%,12/18/25,"6,685.00",Call,105.77,87.50,91.50,+34.29,73,131,0.00%,12/18/25
Call,113.72,81.50,83.30,+44.03,10,"9,644",0.00%,12/18/25,"6,690.00",Call,102.06,83.00,87.10,+34.75,98,184,0.00%,12/18/25
Call,77.67,76.70,78.50,+18.57,9,"10,341",0.00%,12/18/25,"6,695.00",Call,86.05,78.50,82.60,+29.75,70,75,9.86%,12/18/25
Call,73.82,71.90,73.70,+15.17,94,"80,858",0.00%,12/18/25,"6,700.00",Call,80.84,74.20,78.00,+2.04,5,"1,534",12.14%,12/19/25
Call,69.03,67.20,68.90,+19.83,38,"10,818",0.00%,12/18/25,"6,705.00",Call,75.40,69.70,73.80,+21.93,61,140,13.19%,12/18/25
Call,72.13,62.40,64.20,+23.26,347,"10,490",0.00%,12/18/25,"6,710.00",Call,73.15,65.60,69.50,+22.35,85,586,13.97%,12/18/25
Call,58.65,57.80,59.50,+19.45,16,"7,431",0.00%,12/18/25,"6,715.00",Call,71.83,61.40,65.30,+18.22,76,123,14.40%,12/18/25
Call,54.09,53.30,55.00,+10.19,85,"5,776",0.00%,12/18/25,"6,720.00",Call,63.59,57.30,61.10,+1.22,2,251,14.67%,12/18/25
Call,58.62,48.80,50.40,+18.62,88,"7,662",0.00%,12/18/25,"6,725.00",Call,74.39,53.20,57.10,+19.68,1,564,14.37%,12/19/25
Call,59.65,44.40,46.00,+25.55,42,"9,222",0.00%,12/18/25,"6,730.00",Call,61.03,49.20,53.10,+9.93,13,305,14.91%,12/19/25
Call,49.62,40.10,41.70,+14.65,67,"5,666",6.82%,12/18/25,"6,735.00",Call,50.22,46.90,47.70,+9.12,225,255,15.06%,12/18/25
Call,42.88,36.00,37.60,+14.08,94,"6,498",7.91%,12/18/25,"6,740.00",Call,46.10,43.20,43.60,+0.32,22,363,14.97%,12/19/25
Call,36.20,32.00,33.60,+6.29,81,"6,413",8.40%,12/18/25,"6,745.00",Call,42.30,39.60,40.10,-0.17,38,279,15.06%,12/19/25
Call,30.58,28.20,29.80,+2.88,"1,519","41,461",8.73%,12/18/25,"6,750.00",Call,38.60,36.20,36.60,+1.51,18,"3,593",15.09%,12/19/25
Call,27.50,21.00,29.50,+2.50,160,"8,178",10.72%,12/18/25,"6,755.00",Call,37.60,32.80,33.30,+4.10,32,494,15.07%,12/19/25
Call,23.39,21.10,22.50,+2.04,468,"10,227",8.92%,12/18/25,"6,760.00",Call,34.00,29.70,30.10,+1.68,49,365,15.07%,12/19/25
Call,20.85,18.10,19.40,+1.35,460,"9,902",9.10%,12/18/25,"6,765.00",Call,30.50,26.60,27.10,+3.20,119,560,15.02%,12/19/25
Call,16.55,15.30,16.60,-0.55,"1,513","9,176",9.66%,12/18/25,"6,770.00",Call,28.00,23.70,24.20,+4.20,181,586,14.83%,12/19/25
Call,13.60,12.70,14.00,-2.40,"2,682","13,762",9.46%,12/18/25,"6,775.00",Call,24.80,21.00,21.40,+3.48,377,576,14.92%,12/19/25
Call,10.98,10.40,11.60,-2.82,"4,085","9,227",9.28%,12/18/25,"6,780.00",Call,21.80,18.40,18.80,+3.03,368,713,14.82%,12/19/25
Call,8.93,8.40,9.60,-3.77,"2,207","5,385",9.30%,12/18/25,"6,785.00",Call,18.80,16.10,16.40,+2.10,159,438,14.61%,12/19/25
Call,7.24,6.70,7.80,-3.82,"3,286","10,014",9.37%,12/18/25,"6,790.00",Call,16.50,13.90,14.20,+2.30,457,"1,030",14.60%,12/19/25
Call,6.77,5.20,6.30,-2.93,"2,380","6,319",9.39%,12/18/25,"6,795.00",Call,13.50,11.90,12.20,+1.55,352,475,14.29%,12/19/25
Call,4.50,4.00,5.00,-3.94,"11,973","75,277",9.41%,12/18/25,"6,800.00",Call,11.40,10.10,10.40,+1.30,"1,369","2,367",14.13%,12/19/25
Call,3.50,3.00,3.90,-3.26,"6,280","4,344",9.45%,12/18/25,"6,805.00",Call,9.60,8.50,8.80,+0.90,425,787,14.19%,12/19/25
