Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
115.22,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25,"6,675.00",3.47,3.15,21.32%,-0.0896,0.0021,-6.0587,0.5738,12/18/25
97.20,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25,"6,680.00",3.70,3.45,21.02%,-0.0978,0.0023,-6.3712,0.6122,12/18/25
105.77,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25,"6,685.00",4.11,3.95,20.97%,-0.1096,0.0025,-6.9036,0.6649,12/18/25
102.06,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25,"6,690.00",4.58,4.35,20.71%,-0.1199,0.0027,-7.2633,0.7089,12/18/25
86.05,80.55,9.86%,0.9897,0.0008,-1.1377,0.0968,12/18/25,"6,695.00",5.22,4.85,20.51%,-0.1320,0.0029,-7.6942,0.7582,12/18/25
78.80,76.10,12.14%,0.9613,0.0020,-2.4490,0.2978,12/18/25,"6,700.00",5.80,5.40,20.32%,-0.1452,0.0032,-8.1260,0.8089,12/18/25
75.40,71.75,13.19%,0.9354,0.0027,-3.5752,0.4474,12/18/25,"6,705.00",6.40,6.05,20.17%,-0.1600,0.0034,-8.6004,0.8628,12/18/25
73.15,67.55,13.97%,0.9083,0.0033,-4.6862,0.5838,12/18/25,"6,710.00",7.10,6.75,20.00%,-0.1758,0.0036,-9.0551,0.9166,12/18/25
71.83,63.35,14.40%,0.8834,0.0038,-5.5946,0.6949,12/18/25,"6,715.00",8.17,7.55,19.85%,-0.1931,0.0039,-9.5267,0.9718,12/18/25
62.37,59.20,14.67%,0.8586,0.0043,-6.4019,0.7946,12/18/25,"6,720.00",9.06,8.40,19.68%,-0.2113,0.0041,-9.9608,1.0257,12/18/25
54.71,54.71,14.37%,0.8407,0.0048,-6.7407,0.8601,12/18/25,"6,725.00",10.08,9.40,19.56%,-0.2315,0.0044,-10.4270,1.0807,12/18/25
51.10,51.10,14.91%,0.8068,0.0052,-7.7872,0.9721,12/18/25,"6,730.00",10.70,10.45,19.40%,-0.2525,0.0046,-10.8347,1.1328,12/18/25
50.22,47.30,15.06%,0.7774,0.0056,-8.4779,1.0569,12/18/25,"6,735.00",12.44,11.65,19.29%,-0.2753,0.0049,-11.2460,1.1838,12/18/25
45.78,43.40,14.97%,0.7496,0.0060,-8.9445,1.1278,12/18/25,"6,740.00",13.80,12.90,19.12%,-0.2988,0.0051,-11.5815,1.2307,12/18/25
42.47,39.85,15.06%,0.7174,0.0063,-9.5098,1.1990,12/18/25,"6,745.00",15.23,14.35,19.02%,-0.3242,0.0053,-11.9262,1.2749,12/18/25
37.09,36.40,15.09%,0.6844,0.0066,-9.9733,1.2607,12/18/25,"6,750.00",16.83,15.90,18.90%,-0.3506,0.0055,-12.2058,1.3141,12/18/25
33.50,33.05,15.07%,0.6506,0.0069,-10.3294,1.3126,12/18/25,"6,755.00",18.10,17.55,18.76%,-0.3779,0.0057,-12.4118,1.3477,12/18/25
32.32,29.90,15.07%,0.6153,0.0072,-10.6263,1.3552,12/18/25,"6,760.00",19.90,19.40,18.66%,-0.4064,0.0059,-12.5901,1.3754,12/18/25
27.30,26.85,15.02%,0.5793,0.0073,-10.7994,1.3866,12/18/25,"6,765.00",22.20,21.30,18.50%,-0.4356,0.0060,-12.6537,1.3960,12/18/25
23.80,23.80,14.83%,0.5427,0.0075,-10.7936,1.4065,12/18/25,"6,770.00",23.95,23.45,18.42%,-0.4657,0.0061,-12.6983,1.4093,12/18/25
21.32,21.32,14.92%,0.5048,0.0075,-10.8893,1.4145,12/18/25,"6,775.00",26.12,25.70,18.29%,-0.4962,0.0062,-12.6421,1.4144,12/18/25
18.77,18.77,14.82%,0.4669,0.0076,-10.7606,1.4097,12/18/25,"6,780.00",29.00,28.10,18.17%,-0.5273,0.0062,-12.5081,1.4111,12/18/25
16.70,16.25,14.61%,0.4283,0.0076,-10.4536,1.3917,12/18/25,"6,785.00",30.90,30.90,18.22%,-0.5579,0.0062,-12.4211,1.3993,12/18/25
14.20,14.20,14.60%,0.3908,0.0074,-10.1974,1.3613,12/18/25,"6,790.00",34.44,33.50,18.01%,-0.5894,0.0061,-12.0745,1.3786,12/18/25
11.95,11.95,14.29%,0.3513,0.0073,-9.6338,1.3152,12/18/25,"6,795.00",37.65,36.45,17.94%,-0.6200,0.0060,-11.7545,1.3498,12/18/25
10.10,10.10,14.13%,0.3137,0.0071,-9.0967,1.2573,12/18/25,"6,800.00",40.05,40.05,18.25%,-0.6470,0.0058,-11.6526,1.3171,12/18/25
8.70,8.70,14.19%,0.2801,0.0067,-8.6602,1.1939,12/18/25,"6,805.00",36.38,43.05,18.00%,-0.6777,0.0057,-11.0622,1.2714,12/18/25
7.10,7.10,13.93%,0.2437,0.0063,-7.9059,1.1116,12/18/25,"6,810.00",47.54,46.55,18.02%,-0.7050,0.0054,-10.6273,1.2230,12/18/25
5.90,5.90,13.86%,0.2122,0.0059,-7.2685,1.0281,12/18/25,"6,815.00",48.50,50.35,18.19%,-0.7297,0.0052,-10.2637,1.1724,12/18/25
4.81,4.81,13.74%,0.1820,0.0054,-6.5610,0.9369,12/18/25,"6,820.00",55.70,54.35,18.43%,-0.7518,0.0049,-9.9330,1.1217,12/18/25
4.00,4.00,13.77%,0.1569,0.0049,-5.9711,0.8517,12/18/25,"6,825.00",57.96,57.96,18.22%,-0.7781,0.0046,-9.1938,1.0543,12/18/25
3.25,3.25,13.73%,0.1330,0.0044,-5.3204,0.7619,12/18/25,"6,830.00",63.54,62.60,18.90%,-0.7917,0.0043,-9.1869,1.0163,12/18/25
2.65,2.65,13.74%,0.1124,0.0039,-4.7284,0.6773,12/18/25,"6,835.00",64.69,67.00,19.29%,-0.8075,0.0041,-8.9265,0.9687,12/18/25
2.05,2.05,13.58%,0.0917,0.0034,-4.0277,0.5839,12/18/25,"6,840.00",68.96,71.50,19.72%,-0.8214,0.0038,-8.7012,0.9247,12/18/25
1.70,1.70,13.71%,0.0778,0.0030,-3.5887,0.5160,12/18/25,"6,845.00",60.46,76.00,20.11%,-0.8347,0.0035,-8.4274,0.8801,12/18/25
1.25,1.25,13.47%,0.0608,0.0025,-2.9151,0.4266,12/18/25,"6,850.00",76.37,80.70,20.67%,-0.8447,0.0033,-8.3120,0.8451,12/18/25
1.04,1.04,13.64%,0.0514,0.0022,-2.5823,0.3736,12/18/25,"6,855.00",86.80,85.40,21.21%,-0.8542,0.0032,-8.1681,0.8106,12/18/25
0.75,0.85,13.76%,0.0428,0.0019,-2.2499,0.3229,12/18/25,"6,860.00",86.63,90.20,21.83%,-0.8618,0.0029,-8.1050,0.7814,12/18/25
0.65,0.65,13.72%,0.0340,0.0015,-1.8569,0.2674,12/18/25,"6,865.00",93.60,95.10,22.56%,-0.8675,0.0027,-8.1390,0.7591,12/18/25
0.55,0.55,13.93%,0.0289,0.0013,-1.6512,0.2342,12/18/25,"6,870.00",97.50,99.95,23.21%,-0.8735,0.0025,-8.1034,0.7349,12/18/25
"Downloaded from Barchart.com as of 12-19-2025 07:40am CST"
