Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
11.50,11.48,285.73%,0.9705,0.0071,-0.0407,0.0022,12/16/25,11.00,0.01,0.27,337.77%,-0.0476,0.0089,-0.0691,0.0033,12/15/25
8.15,10.60,296.87%,0.9490,0.0107,-0.0653,0.0035,12/12/25,12.00,0.06,0.69,395.81%,-0.0877,0.0122,-0.1301,0.0053,12/09/25
5.65,9.53,242.98%,0.9542,0.0120,-0.0495,0.0032,12/02/25,13.00,0.01,0.01,151.80%,-0.0058,0.0033,-0.0052,0.0005,12/15/25
6.94,8.50,207.30%,0.9534,0.0142,-0.0431,0.0032,12/05/25,14.00,0.03,0.03,154.36%,-0.0153,0.0075,-0.0123,0.0013,12/18/25
6.45,8.03,201.30%,0.9454,0.0166,-0.0473,0.0037,12/05/25,14.50,0.01,0.01,123.75%,-0.0071,0.0048,-0.0050,0.0006,12/18/25
4.45,7.60,206.13%,0.9279,0.0201,-0.0598,0.0045,12/11/25,15.00,0.03,0.03,134.14%,-0.0175,0.0097,-0.0119,0.0014,12/18/25
4.16,7.05,181.56%,0.9329,0.0217,-0.0502,0.0043,12/09/25,15.50,0.05,0.04,130.47%,-0.0231,0.0127,-0.0147,0.0018,12/16/25
5.00,6.53,163.19%,0.9339,0.0238,-0.0447,0.0042,12/17/25,16.00,0.05,0.05,125.53%,-0.0292,0.0160,-0.0172,0.0022,12/18/25
5.41,6.00,145.32%,0.9357,0.0261,-0.0393,0.0042,12/15/25,16.50,0.10,0.10,132.97%,-0.0504,0.0236,-0.0284,0.0034,12/18/25
5.30,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25,17.00,0.05,0.05,106.03%,-0.0341,0.0216,-0.0165,0.0025,12/18/25
4.25,5.00,122.52%,0.9253,0.0348,-0.0373,0.0047,12/15/25,17.50,0.07,0.07,103.33%,-0.0467,0.0286,-0.0208,0.0032,12/18/25
4.70,4.70,144.31%,0.8690,0.0446,-0.0649,0.0070,12/18/25,18.00,0.12,0.12,106.00%,-0.0722,0.0392,-0.0300,0.0045,12/18/25
3.85,4.43,159.26%,0.8216,0.0495,-0.0873,0.0086,12/18/25,18.50,0.14,0.14,99.43%,-0.0869,0.0481,-0.0323,0.0052,12/18/25
3.71,3.53,93.83%,0.8927,0.0595,-0.0375,0.0061,12/18/25,19.00,0.17,0.17,93.83%,-0.1074,0.0596,-0.0356,0.0061,12/18/25
3.36,3.36,123.89%,0.7988,0.0686,-0.0734,0.0093,12/18/25,19.50,0.22,0.22,89.99%,-0.1373,0.0738,-0.0405,0.0073,12/18/25
3.00,2.59,80.78%,0.8393,0.0913,-0.0424,0.0081,12/18/25,20.00,0.29,0.32,90.33%,-0.1841,0.0891,-0.0493,0.0088,12/18/25
2.44,2.20,80.16%,0.7854,0.1101,-0.0499,0.0097,12/18/25,20.50,0.41,0.44,89.81%,-0.2363,0.1038,-0.0567,0.0102,12/18/25
1.90,1.90,85.28%,0.7121,0.1210,-0.0615,0.0113,12/18/25,21.00,0.59,0.59,89.35%,-0.2949,0.1168,-0.0631,0.0114,12/18/25
1.55,1.55,82.52%,0.6485,0.1359,-0.0646,0.0123,12/18/25,21.50,0.77,0.77,88.73%,-0.3584,0.1274,-0.0677,0.0124,12/18/25
1.20,1.20,77.30%,0.5786,0.1530,-0.0637,0.0129,12/18/25,22.00,0.97,0.97,87.08%,-0.4252,0.1362,-0.0696,0.0130,12/18/25
0.95,0.95,77.06%,0.5006,0.1565,-0.0646,0.0132,12/18/25,22.50,1.22,1.22,86.67%,-0.4947,0.1393,-0.0704,0.0132,12/18/25
0.77,0.77,79.26%,0.4275,0.1497,-0.0652,0.0130,12/18/25,23.00,1.55,1.55,89.77%,-0.5589,0.1331,-0.0720,0.0130,12/18/25
0.58,0.58,77.94%,0.3541,0.1443,-0.0607,0.0123,12/18/25,23.50,1.65,1.65,71.93%,-0.6618,0.1541,-0.0530,0.0121,12/18/25
0.45,0.45,78.85%,0.2915,0.1316,-0.0565,0.0113,12/18/25,24.00,1.99,1.99,69.50%,-0.7394,0.1418,-0.0452,0.0107,12/18/25
0.28,0.28,82.30%,0.1960,0.1016,-0.0475,0.0091,12/18/25,25.00,2.74,2.74,58.40%,-0.8968,0.0942,-0.0201,0.0059,12/18/25
0.20,0.20,89.18%,0.1407,0.0757,-0.0415,0.0074,12/18/25,26.00,3.65,3.73,69.72%,-0.9232,0.0635,-0.0192,0.0048,12/18/25
0.12,0.12,90.81%,0.0908,0.0544,-0.0309,0.0054,12/18/25,27.00,5.80,4.73,82.57%,-0.9330,0.0482,-0.0205,0.0043,12/17/25
0.07,0.07,92.04%,0.0567,0.0374,-0.0218,0.0038,12/18/25,28.00,0.00,5.70,87.40%,-0.9555,0.0332,-0.0155,0.0031,N/A
0.05,0.05,96.78%,0.0406,0.0272,-0.0175,0.0029,12/18/25,29.00,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
0.03,0.03,98.17%,0.0256,0.0183,-0.0121,0.0020,12/18/25,30.00,7.40,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/17/25
0.00,0.04,109.67%,0.0267,0.0170,-0.0141,0.0020,N/A,31.00,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
0.00,0.10,141.72%,0.0544,0.0235,-0.0324,0.0036,N/A,32.00,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
0.00,0.66,239.94%,0.1792,0.0330,-0.1301,0.0087,N/A,33.00,10.50,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,12/18/25
0.00,0.66,251.37%,0.1735,0.0308,-0.1335,0.0085,N/A,34.00,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
0.02,0.02,131.70%,0.0139,0.0081,-0.0097,0.0012,12/18/25,35.00,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
"Downloaded from Barchart.com as of 12-19-2025 07:46am CST"
