Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,48.81,47.40,49.95,+0.93,30,0,79.21%,02/06/26,362.50,Put,0.04,0.02,0.04,-0.60,68,178,68.28%,02/06/26
Call,47.13,44.90,47.45,+17.38,22,5,108.53%,02/06/26,365.00,Put,0.03,0.03,0.04,-0.74,362,393,62.87%,02/06/26
Call,43.25,42.40,44.95,+16.21,7,7,0.00%,02/06/26,367.50,Put,0.04,0.03,0.05,-0.88,372,809,61.62%,02/06/26
Call,43.91,40.60,42.00,+15.46,238,171,67.03%,02/06/26,370.00,Put,0.05,0.04,0.05,-1.05,"1,651","1,731",59.90%,02/06/26
Call,41.90,37.95,39.35,+18.14,190,16,0.00%,02/06/26,372.50,Put,0.06,0.05,0.06,-1.28,510,577,57.83%,02/06/26
Call,37.93,35.00,37.40,+15.48,74,57,46.41%,02/06/26,375.00,Put,0.07,0.05,0.07,-1.61,"1,060","1,289",55.51%,02/06/26
Call,20.65,33.00,34.95,unch,0,10,65.11%,02/05/26,377.50,Put,0.08,0.06,0.08,-1.85,"1,004",506,52.97%,02/06/26
Call,31.15,30.55,31.65,+11.55,"2,473",160,0.00%,02/06/26,380.00,Put,0.09,0.08,0.09,-2.22,"3,599","2,755",50.25%,02/06/26
Call,28.00,27.60,29.85,+10.35,6,80,41.59%,02/06/26,382.50,Put,0.11,0.10,0.11,-2.70,"1,270",522,48.08%,02/06/26
Call,27.75,25.90,26.80,+12.10,700,183,47.34%,02/06/26,385.00,Put,0.13,0.13,0.14,-3.17,"3,091","1,027",45.57%,02/06/26
Call,26.50,23.40,24.55,+13.00,309,227,48.30%,02/06/26,387.50,Put,0.18,0.17,0.18,-3.79,"2,004",435,44.19%,02/06/26
Call,21.63,21.05,21.60,+9.48,"6,229",571,38.31%,02/06/26,390.00,Put,0.23,0.23,0.25,-4.41,"6,536","1,916",42.11%,02/06/26
