Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
48.81,48.81,79.21%,0.9853,0.0015,-0.2596,0.0113,02/06/26,362.50,0.04,0.04,68.28%,-0.0059,0.0008,-0.0868,0.0051,02/06/26
47.13,47.13,108.53%,0.9362,0.0038,-1.0660,0.0380,02/06/26,365.00,0.03,0.03,62.87%,-0.0049,0.0007,-0.0677,0.0043,02/06/26
43.25,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26,367.50,0.04,0.04,61.62%,-0.0065,0.0010,-0.0851,0.0055,02/06/26
43.91,41.30,67.03%,0.9843,0.0019,-0.2372,0.0120,02/06/26,370.00,0.05,0.05,59.90%,-0.0081,0.0012,-0.1012,0.0068,02/06/26
41.90,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26,372.50,0.06,0.06,57.83%,-0.0099,0.0015,-0.1161,0.0081,02/06/26
37.93,36.20,46.41%,0.9965,0.0007,-0.0742,0.0032,02/06/26,375.00,0.07,0.07,55.51%,-0.0118,0.0018,-0.1299,0.0094,02/06/26
20.65,33.98,65.11%,0.9639,0.0040,-0.4289,0.0241,02/05/26,377.50,0.08,0.08,52.97%,-0.0139,0.0022,-0.1426,0.0108,02/06/26
31.15,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26,380.00,0.09,0.09,50.25%,-0.0162,0.0026,-0.1543,0.0123,02/06/26
28.00,28.73,41.59%,0.9910,0.0019,-0.1149,0.0074,02/06/26,382.50,0.11,0.11,48.08%,-0.0202,0.0033,-0.1778,0.0149,02/06/26
27.75,26.35,47.34%,0.9710,0.0046,-0.2755,0.0201,02/06/26,385.00,0.13,0.13,45.57%,-0.0246,0.0042,-0.1987,0.0175,02/06/26
26.50,23.97,48.30%,0.9533,0.0066,-0.3956,0.0297,02/06/26,387.50,0.18,0.18,44.19%,-0.0336,0.0056,-0.2499,0.0227,02/06/26
21.63,21.33,38.31%,0.9699,0.0058,-0.2363,0.0207,02/06/26,390.00,0.23,0.23,42.11%,-0.0434,0.0072,-0.2933,0.0280,02/06/26
19.65,19.00,40.45%,0.9416,0.0095,-0.3955,0.0355,02/06/26,392.50,0.32,0.32,40.68%,-0.0594,0.0095,-0.3636,0.0360,02/06/26
17.08,16.60,38.48%,0.9229,0.0123,-0.4594,0.0440,02/06/26,395.00,0.47,0.47,39.76%,-0.0839,0.0127,-0.4629,0.0469,02/06/26
14.53,14.23,36.26%,0.8989,0.0160,-0.5236,0.0538,02/06/26,397.50,0.67,0.67,38.62%,-0.1154,0.0166,-0.5674,0.0592,02/06/26
12.30,12.30,39.66%,0.8302,0.0210,-0.7959,0.0770,02/06/26,400.00,1.00,1.00,38.19%,-0.1611,0.0210,-0.7040,0.0744,02/06/26
10.20,10.03,36.41%,0.7900,0.0260,-0.8298,0.0877,02/06/26,402.50,1.38,1.43,37.47%,-0.2167,0.0258,-0.8284,0.0893,02/06/26
