Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,11.50,10.10,12.20,unch,0,0,259.73%,12/16/25,11.00,Put,0.01,0.00,0.31,unch,0,214,399.61%,12/15/25
Call,8.15,9.10,11.25,unch,0,0,251.40%,12/12/25,12.00,Put,0.06,0.00,0.21,unch,0,0,324.78%,12/09/25
Call,5.65,8.10,10.25,unch,0,0,221.79%,12/02/25,13.00,Put,0.01,0.00,0.01,-0.03,195,10,172.38%,12/19/25
Call,7.92,7.10,9.25,unch,1,0,194.25%,12/19/25,14.00,Put,0.01,0.00,0.01,-0.02,891,541,150.40%,12/19/25
Call,7.86,6.60,8.75,+7.86,5,0,247.92%,12/19/25,14.50,Put,0.01,0.00,0.01,unch,32,605,139.94%,12/19/25
Call,4.45,6.10,8.20,unch,0,10,152.38%,12/11/25,15.00,Put,0.01,0.00,0.01,-0.02,164,25,129.78%,12/19/25
Call,4.16,5.60,7.70,unch,0,0,140.90%,12/09/25,15.50,Put,0.05,0.00,0.05,unch,0,420,153.03%,12/16/25
Call,5.00,5.10,7.20,unch,0,2,129.73%,12/17/25,16.00,Put,0.01,0.00,0.03,-0.04,46,200,110.31%,12/19/25
Call,5.41,4.60,6.75,unch,0,1,132.33%,12/15/25,16.50,Put,0.02,0.02,0.59,-0.08,6,351,111.36%,12/19/25
Call,5.40,4.50,5.75,+0.10,1,186,179.69%,12/19/25,17.00,Put,0.03,0.02,0.05,-0.02,117,271,108.32%,12/19/25
Call,4.73,3.60,5.75,-0.07,16,5,127.63%,12/19/25,17.50,Put,0.03,0.00,0.11,-0.04,28,216,98.09%,12/19/25
Call,4.30,3.10,5.25,-0.40,27,29,131.47%,12/19/25,18.00,Put,0.05,0.04,0.06,-0.07,419,962,96.94%,12/19/25
Call,4.01,2.66,4.75,+0.16,4,94,153.04%,12/19/25,18.50,Put,0.07,0.06,0.07,-0.07,190,455,92.81%,12/19/25
Call,3.20,3.05,3.35,-0.51,75,157,84.02%,12/19/25,19.00,Put,0.09,0.09,0.10,-0.08,886,"3,460",86.85%,12/19/25
Call,2.69,2.30,2.92,-0.67,118,375,70.25%,12/19/25,19.50,Put,0.14,0.14,0.15,-0.08,"1,404","2,729",85.33%,12/19/25
Call,2.28,2.11,2.29,-0.72,297,"1,044",75.79%,12/19/25,20.00,Put,0.21,0.20,0.22,-0.08,"2,158","1,695",83.65%,12/19/25
Call,1.85,1.77,2.03,-0.59,207,358,72.28%,12/19/25,20.50,Put,0.32,0.29,0.36,-0.09,"2,008","1,435",83.61%,12/19/25
Call,1.48,1.38,1.49,-0.42,444,"1,355",72.26%,12/19/25,21.00,Put,0.46,0.43,0.53,-0.13,"2,348","1,133",82.91%,12/19/25
Call,1.13,1.10,1.17,-0.42,"1,673","1,241",69.92%,12/19/25,21.50,Put,0.63,0.59,0.66,-0.14,"1,263",818,81.40%,12/19/25
Call,0.86,0.85,0.90,-0.34,"3,930","2,229",70.69%,12/19/25,22.00,Put,0.87,0.83,0.90,-0.10,"7,744","1,077",82.46%,12/19/25
Call,0.63,0.60,0.66,-0.32,"3,879","1,445",70.55%,12/19/25,22.50,Put,1.16,1.11,1.36,-0.06,"4,971","2,034",84.13%,12/19/25
Call,0.47,0.45,0.49,-0.30,"4,907","3,754",72.53%,12/19/25,23.00,Put,1.46,1.36,1.56,-0.09,"2,814","3,289",83.07%,12/19/25
Call,0.35,0.30,0.36,-0.23,"2,634","1,870",74.69%,12/19/25,23.50,Put,1.80,1.73,1.94,+0.15,"1,514","2,953",82.14%,12/19/25
Call,0.24,0.24,0.25,-0.21,"2,459","4,358",74.42%,12/19/25,24.00,Put,2.20,2.18,2.33,+0.21,"1,539","2,645",84.07%,12/19/25
Call,0.20,0.14,0.21,+0.20,508,0,79.91%,12/19/25,24.50,Put,3.01,2.30,3.15,+0.24,11,0,129.27%,12/19/25
Call,0.13,0.12,0.14,-0.15,"1,250","2,903",78.73%,12/19/25,25.00,Put,3.10,2.70,3.55,+0.36,33,49,92.98%,12/19/25
Call,0.10,0.00,0.12,-0.02,15,0,81.64%,12/19/25,25.50,Put,3.67,2.58,4.65,+3.67,10,0,112.41%,12/19/25
Call,0.08,0.07,0.08,-0.12,"1,804","2,325",85.06%,12/19/25,26.00,Put,4.03,2.97,5.15,+0.38,53,64,99.93%,12/19/25
Call,0.06,0.00,0.07,+0.01,49,0,86.99%,12/19/25,26.50,Put,0.00,3.40,5.65,unch,0,0,107.19%,N/A
Call,0.05,0.04,0.05,-0.07,227,592,90.60%,12/19/25,27.00,Put,5.80,3.90,6.15,unch,0,1,115.07%,12/17/25
Call,0.04,0.00,0.25,+0.04,2,0,93.24%,12/19/25,27.50,Put,0.00,4.40,6.65,unch,0,0,122.66%,N/A
Call,0.03,0.02,0.03,-0.04,229,469,94.68%,12/19/25,28.00,Put,5.90,4.85,7.15,-0.16,9,0,87.64%,12/19/25
Call,0.05,0.00,0.10,unch,0,55,132.13%,12/18/25,29.00,Put,0.00,5.85,8.10,unch,0,0,131.25%,N/A
Call,0.01,0.00,0.07,-0.02,3,120,100.41%,12/19/25,30.00,Put,7.40,6.85,9.10,unch,0,1,143.75%,12/17/25
Call,0.00,0.00,0.12,unch,0,0,162.31%,N/A,31.00,Put,0.00,7.85,10.10,unch,0,0,155.61%,N/A
Call,0.00,0.00,0.16,unch,0,0,184.58%,N/A,32.00,Put,0.00,8.85,11.10,unch,0,0,166.91%,N/A
Call,0.00,0.00,0.29,unch,0,0,224.54%,N/A,33.00,Put,10.50,9.85,12.10,unch,0,0,177.70%,12/18/25
Call,0.00,0.00,0.33,unch,0,0,243.94%,N/A,34.00,Put,0.00,10.85,13.10,unch,0,0,188.03%,N/A
Call,0.02,0.00,0.01,unch,0,60,142.75%,12/18/25,35.00,Put,0.00,11.85,14.10,unch,0,0,197.95%,N/A
"Downloaded from Barchart.com as of 12-20-2025 10:10pm CST"
