Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,6.41,6.75,8.15,unch,0,42,352.84%,01/29/26,10.00,Put,0.01,0.00,0.02,unch,250,415,179.78%,01/30/26
Call,0.00,6.25,7.65,unch,0,0,327.25%,N/A,10.50,Put,0.06,0.00,0.06,+0.05,249,67,217.78%,01/30/26
Call,0.00,5.45,6.50,unch,0,0,0.00%,N/A,11.00,Put,0.05,0.00,0.05,+0.04,8,20,193.19%,01/30/26
Call,0.00,5.35,6.65,unch,0,0,291.99%,N/A,11.50,Put,0.01,0.00,0.12,unch,2,9,137.05%,01/30/26
Call,5.27,4.25,6.15,+5.27,2,36,205.14%,01/30/26,12.00,Put,0.02,0.00,0.01,unch,169,339,136.94%,01/30/26
Call,0.00,4.30,5.65,unch,0,0,240.22%,N/A,12.50,Put,0.01,0.00,0.05,-0.03,12,22,111.18%,01/30/26
Call,3.55,3.80,5.15,unch,0,3,218.47%,01/28/26,13.00,Put,0.03,0.01,0.17,-0.03,158,994,117.57%,01/30/26
Call,0.00,3.30,4.65,unch,0,0,197.22%,N/A,13.50,Put,0.02,0.02,0.04,-0.08,19,423,96.72%,01/30/26
Call,3.64,3.10,3.70,+1.34,537,838,205.85%,01/30/26,14.00,Put,0.05,0.04,0.05,-0.10,506,"2,512",100.20%,01/30/26
Call,3.10,1.85,3.20,+1.27,82,45,176.94%,01/30/26,14.50,Put,0.08,0.06,0.09,-0.16,284,"1,026",96.21%,01/30/26
Call,2.35,2.04,2.52,+0.94,210,177,113.68%,01/30/26,15.00,Put,0.14,0.11,0.15,-0.23,"2,062","3,393",95.51%,01/30/26
Call,2.15,1.59,2.11,+1.03,142,712,94.90%,01/30/26,15.50,Put,0.22,0.21,0.24,-0.30,"1,215",954,93.05%,01/30/26
Call,1.53,1.39,1.65,+0.66,446,658,101.27%,01/30/26,16.00,Put,0.34,0.26,0.35,-0.44,"2,282","3,789",91.54%,01/30/26
Call,1.20,1.08,1.20,+0.59,478,511,99.53%,01/30/26,16.50,Put,0.51,0.47,0.53,-0.52,"3,528","2,200",90.92%,01/30/26
Call,0.81,0.81,0.85,+0.36,"3,724","2,576",85.86%,01/30/26,17.00,Put,0.72,0.70,0.73,-0.63,"5,199","5,725",89.27%,01/30/26
Call,0.60,0.58,0.63,+0.30,"7,517","1,704",87.64%,01/30/26,17.50,Put,0.98,0.95,1.04,-0.83,"2,859","1,439",87.60%,01/30/26
Call,0.43,0.40,0.44,+0.21,"8,282","7,094",88.45%,01/30/26,18.00,Put,1.30,1.25,1.42,-0.82,"1,066","1,685",87.17%,01/30/26
Call,0.30,0.17,0.32,+0.15,"6,244","1,094",89.00%,01/30/26,18.50,Put,1.43,1.55,1.80,-1.12,400,624,88.24%,01/30/26
Call,0.21,0.20,0.22,+0.09,"7,547","2,350",90.39%,01/30/26,19.00,Put,2.09,2.05,2.20,-0.92,481,923,90.30%,01/30/26
Call,0.14,0.13,0.15,+0.04,"4,160","1,300",90.68%,01/30/26,19.50,Put,2.46,1.65,2.72,-1.07,97,282,76.95%,01/30/26
Call,0.08,0.08,0.12,+0.01,"3,362","2,359",87.94%,01/30/26,20.00,Put,2.90,2.69,3.45,-1.02,150,501,63.69%,01/30/26
Call,0.09,0.06,0.08,+0.03,"1,869",734,95.00%,01/30/26,20.50,Put,3.38,3.10,3.50,-0.87,20,165,0.00%,01/30/26
Call,0.04,0.04,0.06,+0.01,"1,585","1,727",93.00%,01/30/26,21.00,Put,4.05,3.45,4.50,-0.45,11,315,130.44%,01/30/26
Call,0.04,0.04,0.06,unch,781,"1,106",101.37%,01/30/26,21.50,Put,4.40,4.10,4.60,-0.80,131,325,87.39%,01/30/26
Call,0.03,0.03,0.04,unch,357,"1,984",103.98%,01/30/26,22.00,Put,4.75,4.10,5.00,-1.04,4,849,0.00%,01/30/26
Call,0.02,0.00,0.04,-0.01,22,402,104.46%,01/30/26,22.50,Put,5.03,4.40,5.80,-1.13,1,32,0.00%,01/30/26
Call,0.03,0.02,0.03,+0.01,155,"1,453",118.68%,01/30/26,23.00,Put,5.88,5.55,6.00,-0.75,3,185,0.00%,01/30/26
Call,0.06,0.01,0.05,+0.02,24,330,125.67%,01/30/26,23.50,Put,6.50,5.45,6.75,unch,0,0,0.00%,01/08/26
Call,0.04,0.00,0.03,+0.02,78,385,138.82%,01/30/26,24.00,Put,6.59,5.90,7.80,+6.59,8,0,0.00%,01/30/26
Call,0.02,0.00,0.04,unch,3,32,130.80%,01/30/26,24.50,Put,7.70,6.35,8.25,unch,6,0,229.13%,01/30/26
Call,0.01,0.00,0.01,unch,41,515,124.87%,01/30/26,25.00,Put,7.61,6.85,7.95,-1.44,1,42,0.00%,01/30/26
Call,0.13,0.00,0.01,unch,0,32,130.42%,01/22/26,25.50,Put,7.47,7.35,9.30,unch,0,0,0.00%,01/26/26
Call,0.01,0.00,0.11,unch,32,325,135.82%,01/30/26,26.00,Put,0.00,7.90,9.25,unch,0,0,0.00%,N/A
Call,0.01,0.00,0.53,unch,0,2,302.33%,01/20/26,26.50,Put,0.00,8.35,10.25,unch,0,0,0.00%,N/A
Call,0.01,0.00,0.20,unch,8,150,146.23%,01/30/26,27.00,Put,10.10,8.85,10.75,unch,0,7,0.00%,01/29/26
"Downloaded from Barchart.com as of 01-31-2026 03:43pm CST"
