Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
11.50,11.15,259.73%,0.9882,0.0042,-0.0199,0.0009,12/16/25,11.00,0.01,0.31,399.61%,-0.0526,0.0095,-0.1013,0.0030,12/15/25
8.15,10.18,251.40%,0.9803,0.0067,-0.0296,0.0014,12/12/25,12.00,0.06,0.21,324.78%,-0.0468,0.0106,-0.0749,0.0028,12/09/25
5.65,9.18,221.79%,0.9779,0.0084,-0.0289,0.0015,12/02/25,13.00,0.01,0.01,172.38%,-0.0059,0.0034,-0.0069,0.0005,12/19/25
7.92,8.17,194.25%,0.9751,0.0106,-0.0281,0.0017,12/19/25,14.00,0.01,0.01,150.40%,-0.0068,0.0044,-0.0067,0.0005,12/19/25
7.86,7.86,247.92%,0.9316,0.0188,-0.0785,0.0037,12/19/25,14.50,0.01,0.01,139.94%,-0.0073,0.0051,-0.0066,0.0006,12/19/25
4.45,7.15,152.38%,0.9815,0.0105,-0.0177,0.0013,12/11/25,15.00,0.01,0.01,129.78%,-0.0078,0.0058,-0.0066,0.0006,12/19/25
4.16,6.65,140.90%,0.9803,0.0120,-0.0174,0.0014,12/09/25,15.50,0.05,0.05,153.03%,-0.0280,0.0148,-0.0232,0.0018,12/16/25
5.00,6.15,129.73%,0.9789,0.0138,-0.0171,0.0014,12/17/25,16.00,0.01,0.01,110.31%,-0.0091,0.0078,-0.0064,0.0007,12/19/25
5.41,5.67,132.33%,0.9651,0.0205,-0.0257,0.0022,12/15/25,16.50,0.02,0.02,111.36%,-0.0168,0.0132,-0.0109,0.0012,12/19/25
5.40,5.40,179.69%,0.8959,0.0355,-0.0781,0.0051,12/19/25,17.00,0.03,0.03,108.32%,-0.0247,0.0188,-0.0147,0.0016,12/19/25
4.73,4.73,127.63%,0.9351,0.0350,-0.0398,0.0036,12/19/25,17.50,0.03,0.03,98.09%,-0.0270,0.0224,-0.0144,0.0018,12/19/25
4.30,4.30,131.47%,0.9046,0.0455,-0.0542,0.0048,12/19/25,18.00,0.05,0.05,96.94%,-0.0426,0.0330,-0.0207,0.0026,12/19/25
4.01,4.01,153.04%,0.8437,0.0552,-0.0881,0.0068,12/19/25,18.50,0.07,0.07,92.81%,-0.0591,0.0447,-0.0257,0.0033,12/19/25
3.20,3.20,84.02%,0.9288,0.0571,-0.0287,0.0039,12/19/25,19.00,0.09,0.09,86.85%,-0.0775,0.0590,-0.0296,0.0041,12/19/25
2.69,2.69,70.25%,0.9260,0.0704,-0.0250,0.0040,12/19/25,19.50,0.14,0.14,85.33%,-0.1135,0.0795,-0.0385,0.0055,12/19/25
2.28,2.28,75.79%,0.8615,0.1028,-0.0412,0.0063,12/19/25,20.00,0.21,0.21,83.65%,-0.1601,0.1027,-0.0478,0.0069,12/19/25
1.85,1.85,72.28%,0.8075,0.1335,-0.0483,0.0078,12/19/25,20.50,0.32,0.32,83.61%,-0.2224,0.1258,-0.0584,0.0084,12/19/25
1.48,1.48,72.26%,0.7287,0.1618,-0.0580,0.0094,12/19/25,21.00,0.46,0.46,82.91%,-0.2937,0.1466,-0.0668,0.0098,12/19/25
1.13,1.13,69.92%,0.6419,0.1884,-0.0630,0.0106,12/19/25,21.50,0.63,0.63,81.40%,-0.3725,0.1641,-0.0720,0.0107,12/19/25
0.86,0.86,70.69%,0.5426,0.1980,-0.0673,0.0112,12/19/25,22.00,0.87,0.87,82.46%,-0.4583,0.1698,-0.0763,0.0112,12/19/25
0.63,0.63,70.55%,0.4437,0.1975,-0.0667,0.0112,12/19/25,22.50,1.16,1.16,84.13%,-0.5414,0.1666,-0.0777,0.0112,12/19/25
0.47,0.47,72.53%,0.3551,0.1811,-0.0645,0.0106,12/19/25,23.00,1.46,1.46,83.07%,-0.6230,0.1616,-0.0732,0.0108,12/19/25
0.35,0.35,74.69%,0.2801,0.1590,-0.0600,0.0095,12/19/25,23.50,1.80,1.80,82.14%,-0.6995,0.1498,-0.0661,0.0099,12/19/25
