Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Equity_Interp,DEX_Support_Resistance,GEX_Equity_Interp,GEX_Level_Behavior,VOL_SHOCK_Equity_Interp,VOL_SHOCK_Expectation,Equity_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
$SPX,2026-02-08,2026-02-09,,6835.0,0.0,0.0,0.0,0.0,47.0,170.0,0.0,,-0.114,0.002,-3.91,0.989,203.0,2190.0,0.161,,-0.0,2314.2,2314.2,-0.0,-40.6,-40.6,-40.6,-0.0,-20076.7,-20076.7,-0.0,79373.0,79373.0,0.0,32.683,32.683,,,-156.0,0.08,0.04,1.021,-0.221,0.955,-0.869,-0.875,-2.477,−0.75 to +0.75,0.75 to +1.5,−0.75 to +0.75,0.75 to +1.5,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Preferred CSP zone,⚠️ CC less attractive,Neutral,Neutral,No side advantage,⚠️ CSP only if strong support,⚠️ CC only at resistance,CSP_OK,CC_OK,⚠️ CSP_CONDITIONAL (Base criteria not met),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mean reversion — levels act as magnets,🧲 Levels act as magnets,"Rising vol sensitivity — faster moves, whipsaws","Whipsaws, fast moves",⚪ Neutral Zone,35.0,40.0,32.0,40.0,39.0,40.0,25.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6840.0,0.0,0.0,0.0,0.0,110.0,323.0,0.0,,-0.125,0.002,-4.171,1.059,205.0,2365.0,0.161,,-0.0,2562.5,2562.5,-0.0,-41.0,-41.0,-41.0,-0.0,-21709.5,-21709.5,-0.0,85505.5,85505.5,0.0,33.005,33.005,,,-95.0,0.08,0.047,1.02,-0.223,0.943,-0.854,-0.872,-2.477,−0.75 to +0.75,0.75 to +1.5,−0.75 to +0.75,0.75 to +1.5,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Preferred CSP zone,⚠️ CC less attractive,Neutral,Neutral,No side advantage,⚠️ CSP only if strong support,⚠️ CC only at resistance,CSP_OK,CC_OK,⚠️ CSP_CONDITIONAL (Base criteria not met),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mean reversion — levels act as magnets,🧲 Levels act as magnets,"Rising vol sensitivity — faster moves, whipsaws","Whipsaws, fast moves",⚪ Neutral Zone,34.0,39.0,29.0,39.0,37.0,39.0,31.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6845.0,0.0,0.0,0.0,0.0,160.0,235.0,0.0,,-0.133,0.003,-4.231,1.101,633.0,1822.0,0.157,,-0.0,8418.9,8418.9,-0.0,-189.9,-189.9,-189.9,-0.0,-69693.3,-69693.3,-0.0,267822.3,267822.3,0.0,99.381,99.381,,,-473.0,0.078,0.224,0.694,-0.827,0.586,-0.422,-0.266,-2.636,−0.75 to +0.75,−0.75 to +0.75,−1.5 to −0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,⚠️ CSP selective,✅ CC slightly favored,Resistance > support,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅✅ CSP_STRONG (Multiple upgrades),✅ CC_OK (Base criteria met),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,⚪ Neutral Zone,20.0,32.0,17.0,27.0,23.0,15.0,15.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6850.0,0.0,0.0,0.0,0.0,1871.0,2222.0,0.0,,-0.145,0.003,-4.469,1.171,1940.0,7821.0,0.156,,-0.0,28130.0,28130.0,-0.0,-582.0,-582.0,-582.0,-0.0,-227174.0,-227174.0,-0.0,866986.0,866986.0,0.0,302.64,302.64,,,-69.0,0.078,0.819,-0.165,-2.417,-0.587,1.0,1.587,-2.676,0.75 to +1.5,−0.75 to +0.75,≤ −2.0,−0.75 to +0.75,✅ Strong CSP,⚠️ CC only at resistance,✅ Normal CSP,✅ Normal CC,❌ Avoid CSP,✅ Strongly favors CC,"Resistance very strong, support fragile",✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅✅ CSP_STRONG (Multiple upgrades),⚠️ CC_CONDITIONAL (Base criteria not met),"Upside capped / absorption — strong support, resistance holds","✅ Strong support, resistance holds",Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,⚪ Neutral Zone,6.0,13.0,1.0,10.0,6.0,4.0,33.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6855.0,0.942,0.002,-2.094,0.592,147.0,338.0,0.098,,-0.158,0.003,-4.68,1.238,251.0,1812.0,0.154,,-13847.4,3965.8,-9881.6,-29.4,-75.3,-104.7,-45.9,-8702.4,-31073.8,-39776.2,30781.8,117468.0,148249.8,14.406,38.654,53.06,,,-104.0,0.126,-0.328,0.881,-0.243,0.809,-0.706,-0.689,1.132,−0.75 to +0.75,0.75 to +1.5,−0.75 to +0.75,0.75 to +1.5,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Preferred CSP zone,⚠️ CC less attractive,Neutral,Neutral,No side advantage,⚠️ CSP only if strong support,⚠️ CC only at resistance,CSP_OK,CC_OK,⚠️ CSP_CONDITIONAL (Base criteria not met),✅✅ CC_STRONG (Multiple upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mean reversion — levels act as magnets,🧲 Levels act as magnets,"Rising vol sensitivity — faster moves, whipsaws","Whipsaws, fast moves",⚪ Neutral Zone,15.0,36.0,28.0,36.0,33.0,34.0,30.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6860.0,0.915,0.003,-2.741,0.801,330.0,812.0,0.106,,-0.171,0.003,-4.862,1.304,387.0,4533.0,0.152,,-30195.0,6617.7,-23577.3,-99.0,-116.1,-215.1,-17.1,-26433.0,-50464.8,-76897.8,90453.0,188159.4,278612.4,34.98,58.824,93.804,,,-57.0,0.129,-0.742,0.639,-0.126,0.532,-0.396,-0.317,1.37,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,7.0,28.0,37.0,24.0,20.0,18.0,34.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6865.0,0.959,0.002,-1.538,0.455,120.0,530.0,0.078,,-0.184,0.004,-5.018,1.367,1014.0,2487.0,0.15,,-11508.0,18657.6,7149.6,-24.0,-405.6,-429.6,-381.6,-5460.0,-138613.8,-144073.8,18456.0,508825.2,527281.2,9.36,152.1,161.46,,,-894.0,0.114,0.186,0.169,-1.604,0.032,0.194,0.3,0.18,−0.75 to +0.75,−0.75 to +0.75,−2.0 to −1.5,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,⚠️ CSP only if DEX_z≥0 & GEX_z>0,✅ CC favored,Sell rips / fade strength,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅✅ CSP_STRONG (Multiple upgrades),✅ CC_OK (Base criteria met),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,⚪ Neutral Zone,24.0,18.0,7.0,15.0,11.0,9.0,5.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6870.0,0.937,0.003,-1.946,0.638,170.0,967.0,0.082,,-0.2,0.004,-5.232,1.438,355.0,4724.0,0.149,,-15929.0,7100.0,-8829.0,-51.0,-142.0,-193.0,-91.0,-10846.0,-51049.0,-61895.0,33082.0,185736.0,218818.0,13.94,52.895,66.835,,,-185.0,0.115,-0.297,0.687,-0.426,0.644,-0.538,-0.563,0.299,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,19.0,31.0,23.0,30.0,26.0,29.0,24.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6875.0,0.923,0.004,-2.12,0.738,2388.0,3981.0,0.081,,-0.216,0.004,-5.389,1.504,2427.0,4859.0,0.147,,-220412.4,52423.2,-167989.2,-955.2,-970.8,-1926.0,-15.6,-176234.4,-365020.8,-541255.2,506256.0,1307910.3,1814166.3,193.428,356.769,550.197,,,-39.0,0.114,-5.102,-3.109,-0.12,-2.927,3.248,3.844,0.18,≤ −2.0,≤ −2.0,−0.75 to +0.75,≤ −2.0,❌ Never CSP,⚠️ CC for protection only,❌ Avoid CSP,⚠️ CC for protection only,Neutral,Neutral,No side advantage,✅ CSP okay if DEX/GEX ok,✅ CC okay,CSP_NO: DEX_z ≤ -1.5 (strong downside); GEX_z ≤ -1.5 (instability); VOL_SHOCK_z ≤ -2.0 without DEX≥0 & GEX≥0,CC_CONDITIONAL: GEX_z ≤ -1.5 (prefer waiting),❌ CSP_NO (Hard Block),⚠️ CC_CONDITIONAL (Check blocks),Strong downside acceleration — support likely to fail hard,❌ Support likely to fail hard,Extreme instability — levels break violently,❌ Levels break violently,"IV crush regime — slow drift, fake breaks","Slow moves, levels break cleanly",🔴 Support Likely to Fail,1.0,1.0,38.0,2.0,1.0,1.0,37.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
$SPX,2026-02-08,2026-02-09,,6880.0,0.883,0.004,-2.836,1.008,172.0,1717.0,0.088,,-0.234,0.004,-5.551,1.571,402.0,4302.0,0.145,,-15187.6,9406.8,-5780.8,-68.8,-160.8,-229.6,-92.0,-17337.6,-63154.2,-80491.8,48779.2,223150.2,271929.4,15.136,58.29,73.426,,,-230.0,0.116,-0.204,0.607,-0.43,0.505,-0.412,-0.503,0.379,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,29.0,27.0,22.0,23.0,21.0,27.0,23.0,39694.799999999974,-810997.1,850691.8999999999,,-10413.399999999998,-9857.2,-20270.6,556.1999999999971,-5933274.6,-2391211.7,-3542062.9,17821063.1,5833681.4,11987381.7,5143.977,26397.0,21674.0,48071.0
