Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Equity_Interp,DEX_Support_Resistance,GEX_Equity_Interp,GEX_Level_Behavior,VOL_SHOCK_Equity_Interp,VOL_SHOCK_Expectation,Equity_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
GOOG,2026-02-08,2026-02-13,,275.0,0.946,0.003,-0.33,0.045,29.0,6.0,0.811,,-0.012,0.001,-0.061,0.013,354.0,813.0,0.568,,-2743.4,424.8,-2318.6,-8.7,-35.4,-44.1,-26.7,-130.5,-460.2,-590.7,957.0,2159.4,3116.4,23.519,201.072,224.591,,,-325.0,0.69,-0.343,0.586,0.203,0.596,-0.613,-0.654,2.145,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,22.0,34.0,36.0,34.0,33.0,28.0,24.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,277.5,0.93,0.004,-0.412,0.056,6.0,0.0,0.838,,-0.014,0.002,-0.065,0.014,83.0,89.0,0.547,,-558.0,116.2,-441.8,-2.4,-16.6,-19.0,-14.2,-33.6,-116.2,-149.8,247.2,539.5,786.7,5.028,45.401,50.429,,,-77.0,0.692,-0.318,0.592,0.207,0.612,-0.642,-0.92,2.167,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,36.0,39.0,39.0,40.0,40.0,37.0,37.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,280.0,0.939,0.004,-0.335,0.05,36.0,21.0,0.748,,-0.017,0.002,-0.078,0.018,562.0,283.0,0.538,,-3380.4,955.4,-2425.0,-14.4,-112.4,-126.8,-98.0,-180.0,-1011.6,-1191.6,1206.0,4383.6,5589.6,26.928,302.356,329.284,,,-526.0,0.643,-0.345,0.568,0.182,0.575,-0.582,-0.494,1.815,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,21.0,31.0,32.0,31.0,29.0,25.0,19.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,282.5,0.934,0.004,-0.343,0.053,12.0,0.0,0.72,,-0.022,0.002,-0.094,0.021,65.0,29.0,0.529,,-1120.8,143.0,-977.8,-4.8,-13.0,-17.8,-8.2,-63.6,-136.5,-200.1,411.6,611.0,1022.6,8.64,34.385,43.025,,,-53.0,0.624,-0.325,0.592,0.209,0.61,-0.639,-0.932,1.684,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,33.0,40.0,40.0,39.0,37.0,39.0,39.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,285.0,0.947,0.004,-0.256,0.045,61.0,11.0,0.623,,-0.025,0.003,-0.1,0.024,440.0,693.0,0.508,,-5776.7,1100.0,-4676.7,-24.4,-132.0,-156.4,-107.6,-274.5,-1056.0,-1330.5,1561.6,4400.0,5961.6,38.003,223.52,261.523,,,-379.0,0.566,-0.375,0.562,0.18,0.57,-0.577,-0.598,1.265,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,20.0,29.0,31.0,28.0,28.0,27.0,21.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,287.5,0.932,0.005,-0.312,0.055,14.0,0.0,0.632,,-0.03,0.003,-0.116,0.028,72.0,81.0,0.495,,-1304.8,216.0,-1088.8,-7.0,-21.6,-28.6,-14.6,-77.0,-201.6,-278.6,436.8,835.2,1272.0,8.848,35.64,44.488,,,-58.0,0.564,-0.326,0.59,0.207,0.608,-0.636,-0.929,1.251,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,32.0,37.0,38.0,36.0,36.0,38.0,38.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,290.0,0.926,0.006,-0.313,0.058,64.0,7.0,0.6,,-0.036,0.004,-0.13,0.033,1552.0,904.0,0.479,,-5926.4,5587.2,-339.2,-38.4,-620.8,-659.2,-582.4,-371.2,-5121.6,-5492.8,2003.2,20176.0,22179.2,38.4,743.408,781.808,,,-1488.0,0.54,-0.316,0.452,0.041,0.419,-0.373,0.197,1.08,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,38.0,23.0,17.0,22.0,21.0,13.0,10.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,292.5,0.909,0.007,-0.364,0.068,0.0,0.0,0.602,,-0.045,0.005,-0.153,0.039,84.0,280.0,0.469,,-0.0,378.0,378.0,-0.0,-42.0,-42.0,-42.0,-0.0,-327.6,-327.6,0.0,1285.2,1285.2,0.0,39.396,39.396,,,-84.0,0.536,-0.307,0.587,0.199,0.606,-0.636,-0.937,1.052,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,37.0,35.0,34.0,35.0,35.0,40.0,35.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,295.0,0.924,0.007,-0.276,0.059,64.0,8.0,0.51,,-0.053,0.006,-0.167,0.045,1325.0,1022.0,0.45,,-5913.6,7022.5,1108.9,-44.8,-795.0,-839.8,-750.2,-377.6,-5962.5,-6340.1,1766.4,22127.5,23893.9,32.64,596.25,628.89,,,-1261.0,0.48,-0.297,0.413,-0.009,0.389,-0.351,-0.037,0.658,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,31.0,21.0,16.0,20.0,20.0,16.0,11.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
GOOG,2026-02-08,2026-02-13,,297.5,0.904,0.008,-0.326,0.071,3.0,6.0,0.511,,-0.068,0.007,-0.198,0.054,208.0,556.0,0.443,,-271.2,1414.4,1143.2,-2.4,-145.6,-148.0,-143.2,-21.3,-1123.2,-1144.5,97.8,4118.4,4216.2,1.533,92.144,93.677,,,-205.0,0.477,-0.296,0.564,0.169,0.576,-0.599,-0.854,0.637,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,🟡 Weak / Conditional Support,30.0,30.0,26.0,32.0,32.0,35.0,30.0,919367.7999999999,-618516.6000000001,1537884.4,,-40210.4,-69037.0,-109247.4,-28826.6,-684025.2,-254116.8,-429908.4,2071985.5,799427.5,1272558.0,26114.227999999996,32010.0,36991.0,69001.0
