Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
TSLL,2025-12-20,2025-12-26,430.0,11.0,0.988,0.004,-0.02,0.001,0.0,0.0,2.597,,-0.053,0.01,-0.101,0.003,214.0,0.0,3.996,,-0.0,1125.64,1125.64,0.0,-203.3,-203.3,-203.3,-0.0,-64.2,-64.2,0.0,2167.82,2167.82,0.0,855.165,855.165,419.0,0.974,-214.0,3.297,-0.022,-0.122,0.555,0.539,-0.411,-0.199,3.411,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),20.0,23.0,24.0,20.0,14.0,15.0,22.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,12.0,0.98,0.007,-0.03,0.001,0.0,0.0,2.514,,-0.047,0.011,-0.075,0.003,0.0,0.0,3.248,,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.972,0.0,2.881,-0.05,-0.101,0.562,0.575,-0.597,-0.785,2.705,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),31.0,31.0,31.0,31.0,31.0,31.0,31.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,13.0,0.978,0.008,-0.029,0.002,0.0,0.0,2.218,,-0.006,0.003,-0.007,0.0,10.0,195.0,1.724,,-0.0,5.9,5.9,0.0,-3.4,-3.4,-3.4,-0.0,-0.5,-0.5,0.0,6.9,6.9,0.0,17.238,17.238,417.0,0.97,-10.0,1.971,-0.05,-0.102,0.562,0.574,-0.596,-0.773,1.159,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),30.0,30.0,30.0,30.0,30.0,30.0,30.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,14.0,0.975,0.011,-0.028,0.002,0.0,1.0,1.942,,-0.007,0.004,-0.007,0.0,541.0,891.0,1.504,,-0.0,367.88,367.88,0.0,-238.04,-238.04,-238.04,-0.0,-27.05,-27.05,0.0,362.47,362.47,0.0,813.664,813.664,416.0,0.967,-541.0,1.723,-0.041,-0.126,0.554,0.56,-0.566,-0.227,0.739,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),24.0,22.0,23.0,24.0,23.0,17.0,14.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,14.5,0.932,0.019,-0.078,0.004,0.0,5.0,2.479,,-0.007,0.005,-0.007,0.001,605.0,32.0,1.399,,-0.0,441.65,441.65,0.0,-308.55,-308.55,-308.55,-0.0,-36.3,-36.3,0.0,399.3,399.3,0.0,846.637,846.637,415.5,0.966,-605.0,1.939,-0.039,-0.133,0.552,0.555,-0.562,-0.204,1.106,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),23.0,21.0,22.0,23.0,21.0,16.0,11.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,15.0,0.982,0.01,-0.018,0.001,10.0,0.0,1.524,,-0.008,0.006,-0.007,0.001,25.0,164.0,1.298,,-981.5,19.5,-962.0,10.5,-14.5,-4.0,-25.0,-1.3,-1.5,-2.8,17.7,16.5,34.2,15.238,32.445,47.683,415.0,0.965,-15.0,1.411,-0.074,-0.102,0.561,0.573,-0.594,-0.752,0.208,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),21.0,29.0,29.0,29.0,29.0,29.0,29.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,15.5,0.98,0.012,-0.017,0.001,0.0,0.0,1.409,,-0.028,0.015,-0.023,0.002,420.0,0.0,1.53,,-0.0,1176.0,1176.0,0.0,-621.6,-621.6,-621.6,-0.0,-75.6,-75.6,0.0,974.4,974.4,0.0,642.726,642.726,414.5,0.964,-420.0,1.47,-0.021,-0.165,0.541,0.533,-0.513,-0.344,0.308,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),19.0,18.0,19.0,19.0,19.0,18.0,18.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,16.0,0.979,0.014,-0.017,0.001,2.0,0.0,1.297,,-0.009,0.008,-0.006,0.001,200.0,46.0,1.103,,-195.78,182.0,-13.78,2.76,-156.0,-153.24,-158.76,-0.28,-14.0,-14.28,3.42,128.0,131.42,2.595,220.62,223.215,414.0,0.963,-198.0,1.2,-0.051,-0.117,0.557,0.567,-0.585,-0.632,-0.149,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),29.0,25.0,26.0,26.0,26.0,24.0,24.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,16.5,0.965,0.02,-0.026,0.002,1.0,0.0,1.323,,-0.017,0.013,-0.011,0.001,351.0,6.0,1.114,,-96.51,589.68,493.17,2.05,-463.32,-461.27,-465.37,-0.22,-42.12,-42.34,2.57,382.59,385.16,1.323,390.874,392.197,413.5,0.962,-350.0,1.218,-0.038,-0.148,0.546,0.551,-0.564,-0.516,-0.118,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),22.0,20.0,21.0,21.0,22.0,23.0,20.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,17.0,0.896,0.036,-0.078,0.005,186.0,1.0,1.797,,-0.025,0.019,-0.015,0.002,271.0,117.0,1.083,,-16663.74,669.37,-15994.37,660.3,-509.48,150.82,-1169.78,-94.86,-43.36,-138.22,1452.66,398.37,1851.03,334.223,293.547,627.771,413.0,0.96,-85.0,1.44,-0.452,-0.086,0.522,0.498,-0.438,-0.354,0.258,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),10.0,26.0,18.0,17.0,17.0,19.0,26.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
