Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
$SPX,2026-01-31,2026-02-02,,6840.0,0.954,0.002,-2.111,0.498,308.0,82.0,0.117,,-0.12,0.002,-4.228,1.025,2451.0,3151.0,0.168,
$SPX,2026-01-31,2026-02-02,,6845.0,0.945,0.002,-2.314,0.57,40.0,19.0,0.117,,-0.133,0.002,-4.559,1.102,207.0,1570.0,0.169,
$SPX,2026-01-31,2026-02-02,,6850.0,0.924,0.002,-2.924,0.738,489.0,200.0,0.124,,-0.144,0.003,-4.767,1.163,1601.0,5487.0,0.167,
$SPX,2026-01-31,2026-02-02,,6855.0,0.914,0.002,-3.1,0.806,63.0,19.0,0.123,,-0.155,0.003,-4.958,1.223,355.0,2122.0,0.165,
$SPX,2026-01-31,2026-02-02,,6860.0,0.878,0.003,-4.122,1.039,83.0,62.0,0.136,,-0.167,0.003,-5.148,1.284,584.0,2085.0,0.164,
$SPX,2026-01-31,2026-02-02,,6865.0,0.902,0.003,-3.148,0.886,31.0,57.0,0.114,,-0.18,0.003,-5.359,1.35,213.0,1529.0,0.162,
$SPX,2026-01-31,2026-02-02,,6870.0,0.859,0.003,-4.294,1.151,1024.0,212.0,0.129,,-0.194,0.003,-5.541,1.412,339.0,2452.0,0.16,
$SPX,2026-01-31,2026-02-02,,6875.0,0.844,0.004,-4.483,1.229,131.0,76.0,0.127,,-0.209,0.004,-5.734,1.477,719.0,3613.0,0.159,
$SPX,2026-01-31,2026-02-02,,6880.0,0.835,0.004,-4.449,1.274,82.0,169.0,0.122,,-0.225,0.004,-5.913,1.541,489.0,3840.0,0.157,
$SPX,2026-01-31,2026-02-02,,6885.0,0.791,0.004,-5.512,1.477,58.0,87.0,0.135,,-0.242,0.004,-6.094,1.605,274.0,3398.0,0.156,
$SPX,2026-01-31,2026-02-02,,6890.0,0.781,0.004,-5.389,1.518,88.0,140.0,0.128,,-0.26,0.004,-6.254,1.666,427.0,4552.0,0.154,
$SPX,2026-01-31,2026-02-02,,6895.0,0.759,0.005,-5.612,1.602,95.0,183.0,0.127,,-0.279,0.004,-6.39,1.726,302.0,2521.0,0.152,
$SPX,2026-01-31,2026-02-02,,6900.0,0.733,0.005,-5.884,1.687,385.0,608.0,0.128,,-0.299,0.004,-6.516,1.782,1609.0,8414.0,0.15,
$SPX,2026-01-31,2026-02-02,,6905.0,0.709,0.005,-6.062,1.761,143.0,371.0,0.127,,-0.32,0.005,-6.626,1.836,231.0,1960.0,0.149,
$SPX,2026-01-31,2026-02-02,,6910.0,0.683,0.006,-6.211,1.829,265.0,760.0,0.126,,-0.342,0.005,-6.731,1.887,450.0,2757.0,0.147,
$SPX,2026-01-31,2026-02-02,,6915.0,0.656,0.006,-6.343,1.89,146.0,1201.0,0.125,,-0.366,0.005,-6.809,1.932,286.0,2627.0,0.146,
$SPX,2026-01-31,2026-02-02,,6920.0,0.628,0.006,-6.422,1.942,263.0,1716.0,0.123,,-0.39,0.005,-6.832,1.97,671.0,4227.0,0.144,
$SPX,2026-01-31,2026-02-02,,6925.0,0.599,0.006,-6.473,1.986,559.0,3108.0,0.122,,-0.416,0.005,-6.85,2.002,1450.0,4950.0,0.142,
$SPX,2026-01-31,2026-02-02,,6930.0,0.568,0.006,-6.49,2.019,235.0,3382.0,0.121,,-0.442,0.006,-6.855,2.027,344.0,3608.0,0.141,
$SPX,2026-01-31,2026-02-02,,6935.0,0.537,0.006,-6.457,2.04,136.0,2395.0,0.119,,-0.469,0.006,-6.808,2.042,152.0,2405.0,0.139,
$SPX,2026-01-31,2026-02-02,,6940.0,0.504,0.007,-6.382,2.049,574.0,3511.0,0.118,,-0.497,0.006,-6.729,2.048,520.0,3095.0,0.137,
$SPX,2026-01-31,2026-02-02,,6945.0,0.471,0.007,-6.274,2.044,207.0,3303.0,0.116,,-0.526,0.006,-6.617,2.044,245.0,1735.0,0.136,
$SPX,2026-01-31,2026-02-02,,6950.0,0.437,0.007,-6.106,2.024,1577.0,9538.0,0.115,,-0.556,0.006,-6.471,2.028,1359.0,5782.0,0.134,
$SPX,2026-01-31,2026-02-02,,6955.0,0.402,0.007,-5.875,1.987,276.0,2628.0,0.113,,-0.585,0.006,-6.286,2.001,259.0,1167.0,0.132,
$SPX,2026-01-31,2026-02-02,,6960.0,0.367,0.007,-5.618,1.935,442.0,4787.0,0.111,,-0.615,0.006,-6.064,1.961,421.0,1006.0,0.131,
$SPX,2026-01-31,2026-02-02,,6965.0,0.332,0.006,-5.31,1.865,368.0,4100.0,0.109,,-0.646,0.006,-5.783,1.909,399.0,468.0,0.129,
$SPX,2026-01-31,2026-02-02,,6970.0,0.297,0.006,-4.951,1.777,1732.0,3798.0,0.107,,-0.674,0.006,-5.568,1.849,424.0,257.0,0.129,
$SPX,2026-01-31,2026-02-02,,6975.0,0.262,0.006,-4.559,1.672,1963.0,4907.0,0.105,,-0.703,0.005,-5.274,1.777,719.0,185.0,0.127,
$SPX,2026-01-31,2026-02-02,,6980.0,0.229,0.006,-4.161,1.555,1439.0,5179.0,0.103,,-0.718,0.005,-5.435,1.734,190.0,188.0,0.134,
$SPX,2026-01-31,2026-02-02,,6985.0,0.198,0.005,-3.751,1.428,301.0,2969.0,0.101,,-0.757,0.005,-4.649,1.604,328.0,101.0,0.126,
