Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
GOOG,2026-02-08,2026-02-13,,275.0,0.946,0.003,-0.33,0.045,29.0,6.0,0.811,,-0.012,0.001,-0.061,0.013,354.0,813.0,0.568,
GOOG,2026-02-08,2026-02-13,,277.5,0.93,0.004,-0.412,0.056,6.0,0.0,0.838,,-0.014,0.002,-0.065,0.014,83.0,89.0,0.547,
GOOG,2026-02-08,2026-02-13,,280.0,0.939,0.004,-0.335,0.05,36.0,21.0,0.748,,-0.017,0.002,-0.078,0.018,562.0,283.0,0.538,
GOOG,2026-02-08,2026-02-13,,282.5,0.934,0.004,-0.343,0.053,12.0,0.0,0.72,,-0.022,0.002,-0.094,0.021,65.0,29.0,0.529,
GOOG,2026-02-08,2026-02-13,,285.0,0.947,0.004,-0.256,0.045,61.0,11.0,0.623,,-0.025,0.003,-0.1,0.024,440.0,693.0,0.508,
GOOG,2026-02-08,2026-02-13,,287.5,0.932,0.005,-0.312,0.055,14.0,0.0,0.632,,-0.03,0.003,-0.116,0.028,72.0,81.0,0.495,
GOOG,2026-02-08,2026-02-13,,290.0,0.926,0.006,-0.313,0.058,64.0,7.0,0.6,,-0.036,0.004,-0.13,0.033,1552.0,904.0,0.479,
GOOG,2026-02-08,2026-02-13,,292.5,0.909,0.007,-0.364,0.068,0.0,0.0,0.602,,-0.045,0.005,-0.153,0.039,84.0,280.0,0.469,
GOOG,2026-02-08,2026-02-13,,295.0,0.924,0.007,-0.276,0.059,64.0,8.0,0.51,,-0.053,0.006,-0.167,0.045,1325.0,1022.0,0.45,
GOOG,2026-02-08,2026-02-13,,297.5,0.904,0.008,-0.326,0.071,3.0,6.0,0.511,,-0.068,0.007,-0.198,0.054,208.0,556.0,0.443,
GOOG,2026-02-08,2026-02-13,,300.0,0.903,0.009,-0.295,0.071,86.0,113.0,0.458,,-0.082,0.009,-0.222,0.063,2457.0,2242.0,0.428,
GOOG,2026-02-08,2026-02-13,,302.5,0.84,0.011,-0.474,0.101,17.0,15.0,0.539,,-0.104,0.01,-0.258,0.075,253.0,508.0,0.42,
GOOG,2026-02-08,2026-02-13,,305.0,0.863,0.012,-0.347,0.091,175.0,260.0,0.426,,-0.128,0.012,-0.293,0.087,2329.0,2619.0,0.41,
GOOG,2026-02-08,2026-02-13,,307.5,0.868,0.014,-0.287,0.088,86.0,61.0,0.357,,-0.158,0.015,-0.329,0.1,168.0,614.0,0.4,
GOOG,2026-02-08,2026-02-13,,310.0,0.785,0.016,-0.454,0.121,253.0,316.0,0.429,,-0.194,0.017,-0.365,0.114,1341.0,2405.0,0.39,
GOOG,2026-02-08,2026-02-13,,312.5,0.759,0.019,-0.441,0.129,180.0,158.0,0.39,,-0.236,0.02,-0.396,0.128,559.0,1282.0,0.379,
GOOG,2026-02-08,2026-02-13,,315.0,0.711,0.022,-0.469,0.142,692.0,502.0,0.38,,-0.286,0.022,-0.428,0.141,1400.0,2165.0,0.372,
