Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
TSLA,2026-01-31,2026-02-02,,382.5,0.944,0.004,-0.968,0.036,0.0,3.0,1.032,,-0.005,0.001,-0.068,0.004,723.0,113.0,0.621,
TSLA,2026-01-31,2026-02-02,,385.0,0.975,0.002,-0.399,0.018,8.0,13.0,0.78,,-0.006,0.001,-0.086,0.006,735.0,444.0,0.61,
TSLA,2026-01-31,2026-02-02,,387.5,0.994,0.001,-0.12,0.006,6.0,5.0,0.574,,-0.008,0.001,-0.102,0.007,512.0,136.0,0.594,
TSLA,2026-01-31,2026-02-02,,390.0,0.99,0.001,-0.16,0.008,9.0,8.0,0.578,,-0.011,0.002,-0.133,0.009,1256.0,1290.0,0.586,
TSLA,2026-01-31,2026-02-02,,392.5,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,-0.011,0.002,-0.131,0.01,254.0,995.0,0.553,
TSLA,2026-01-31,2026-02-02,,395.0,0.975,0.003,-0.321,0.019,28.0,21.0,0.601,,-0.015,0.002,-0.158,0.012,775.0,1172.0,0.538,
TSLA,2026-01-31,2026-02-02,,397.5,0.982,0.003,-0.224,0.014,5.0,0.0,0.52,,-0.017,0.003,-0.17,0.013,807.0,729.0,0.512,
TSLA,2026-01-31,2026-02-02,,400.0,0.961,0.005,-0.417,0.027,192.0,762.0,0.568,,-0.022,0.003,-0.206,0.017,2819.0,6414.0,0.496,
TSLA,2026-01-31,2026-02-02,,402.5,0.97,0.004,-0.305,0.022,15.0,12.0,0.488,,-0.027,0.004,-0.237,0.02,418.0,713.0,0.477,
TSLA,2026-01-31,2026-02-02,,405.0,0.953,0.006,-0.424,0.031,58.0,209.0,0.497,,-0.037,0.005,-0.297,0.026,893.0,2777.0,0.465,
TSLA,2026-01-31,2026-02-02,,407.5,0.956,0.007,-0.368,0.03,51.0,121.0,0.44,,-0.049,0.007,-0.366,0.032,552.0,1281.0,0.453,
TSLA,2026-01-31,2026-02-02,,410.0,0.937,0.009,-0.466,0.039,438.0,3751.0,0.435,,-0.066,0.009,-0.447,0.041,1683.0,7893.0,0.442,
TSLA,2026-01-31,2026-02-02,,412.5,0.906,0.012,-0.632,0.054,122.0,174.0,0.444,,-0.088,0.012,-0.548,0.051,749.0,3140.0,0.432,
TSLA,2026-01-31,2026-02-02,,415.0,0.897,0.014,-0.603,0.057,337.0,1166.0,0.396,,-0.116,0.015,-0.646,0.062,1527.0,5082.0,0.419,
