Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
TSLL,2026-01-31,2026-02-06,,10.0,0.921,0.019,-0.095,0.003,42.0,0.0,3.528,,-0.007,0.005,-0.007,0.0,415.0,250.0,1.798,
TSLL,2026-01-31,2026-02-06,,10.5,0.915,0.022,-0.094,0.003,0.0,0.0,3.272,,-0.029,0.014,-0.027,0.002,67.0,249.0,2.178,
TSLL,2026-01-31,2026-02-06,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.028,0.015,-0.023,0.001,20.0,8.0,1.932,
TSLL,2026-01-31,2026-02-06,,11.5,0.894,0.028,-0.098,0.004,0.0,0.0,2.92,,-0.009,0.008,-0.006,0.001,9.0,2.0,1.37,
TSLL,2026-01-31,2026-02-06,,12.0,0.931,0.03,-0.051,0.003,36.0,2.0,2.051,,-0.017,0.014,-0.011,0.001,339.0,169.0,1.369,
TSLL,2026-01-31,2026-02-06,,12.5,0.88,0.038,-0.089,0.004,0.0,0.0,2.402,,-0.011,0.012,-0.006,0.001,22.0,12.0,1.112,
TSLL,2026-01-31,2026-02-06,,13.0,0.869,0.044,-0.086,0.005,3.0,0.0,2.185,,-0.029,0.025,-0.014,0.001,994.0,158.0,1.176,
TSLL,2026-01-31,2026-02-06,,13.5,0.857,0.052,-0.083,0.005,0.0,0.0,1.972,,-0.024,0.027,-0.01,0.001,423.0,19.0,0.967,
TSLL,2026-01-31,2026-02-06,,14.0,0.814,0.059,-0.102,0.006,838.0,537.0,2.058,,-0.052,0.048,-0.019,0.002,2512.0,506.0,1.002,
TSLL,2026-01-31,2026-02-06,,14.5,0.801,0.072,-0.091,0.006,45.0,82.0,1.769,,-0.08,0.07,-0.026,0.003,1026.0,284.0,0.962,
TSLL,2026-01-31,2026-02-06,,15.0,0.836,0.099,-0.052,0.005,177.0,210.0,1.137,,-0.127,0.099,-0.036,0.005,3393.0,2062.0,0.955,
TSLL,2026-01-31,2026-02-06,,15.5,0.81,0.13,-0.048,0.006,712.0,142.0,0.949,,-0.186,0.131,-0.045,0.006,954.0,1215.0,0.93,
TSLL,2026-01-31,2026-02-06,,16.0,0.721,0.151,-0.063,0.007,658.0,446.0,1.013,,-0.263,0.162,-0.054,0.007,3789.0,2282.0,0.915,
TSLL,2026-01-31,2026-02-06,,16.5,0.638,0.172,-0.069,0.008,511.0,478.0,0.995,,-0.354,0.187,-0.061,0.008,2200.0,3528.0,0.909,
TSLL,2026-01-31,2026-02-06,,17.0,0.547,0.21,-0.063,0.009,2576.0,3724.0,0.859,,-0.453,0.202,-0.064,0.009,5725.0,5199.0,0.893,
TSLL,2026-01-31,2026-02-06,,17.5,0.445,0.206,-0.064,0.009,1704.0,7517.0,0.876,,-0.556,0.206,-0.062,0.009,1439.0,2859.0,0.876,
TSLL,2026-01-31,2026-02-06,,18.0,0.35,0.191,-0.06,0.008,7094.0,8282.0,0.885,,-0.653,0.193,-0.058,0.008,1685.0,1066.0,0.872,
TSLL,2026-01-31,2026-02-06,,18.5,0.267,0.168,-0.054,0.007,1094.0,6244.0,0.89,,-0.736,0.169,-0.052,0.007,624.0,400.0,0.882,
TSLL,2026-01-31,2026-02-06,,19.0,0.2,0.141,-0.047,0.006,2350.0,7547.0,0.904,,-0.801,0.141,-0.045,0.006,923.0,481.0,0.903,
TSLL,2026-01-31,2026-02-06,,19.5,0.144,0.114,-0.038,0.005,1300.0,4160.0,0.907,,-0.9,0.105,-0.024,0.004,282.0,97.0,0.77,
TSLL,2026-01-31,2026-02-06,,20.0,0.093,0.086,-0.027,0.004,2359.0,3362.0,0.879,,-0.972,0.047,-0.006,0.001,501.0,150.0,0.637,
TSLL,2026-01-31,2026-02-06,,20.5,0.078,0.07,-0.026,0.003,734.0,1869.0,0.95,,0.0,0.0,0.0,0.0,165.0,20.0,0.0,
TSLL,2026-01-31,2026-02-06,,21.0,0.049,0.05,-0.017,0.002,1727.0,1585.0,0.93,,-0.873,0.073,-0.048,0.005,315.0,11.0,1.304,
TSLL,2026-01-31,2026-02-06,,21.5,0.046,0.043,-0.018,0.002,1106.0,781.0,1.014,,-0.979,0.027,-0.007,0.001,325.0,131.0,0.874,
TSLL,2026-01-31,2026-02-06,,22.0,0.035,0.034,-0.015,0.002,1984.0,357.0,1.04,,0.0,0.0,0.0,0.0,849.0,4.0,0.0,
TSLL,2026-01-31,2026-02-06,,22.5,0.024,0.025,-0.011,0.001,402.0,22.0,1.045,,0.0,0.0,0.0,0.0,32.0,1.0,0.0,
TSLL,2026-01-31,2026-02-06,,23.0,0.031,0.027,-0.015,0.002,1453.0,155.0,1.187,,0.0,0.0,0.0,0.0,185.0,3.0,0.0,
TSLL,2026-01-31,2026-02-06,,23.5,0.03,0.024,-0.016,0.002,330.0,24.0,1.257,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TSLL,2026-01-31,2026-02-06,,24.0,0.035,0.026,-0.02,0.002,385.0,78.0,1.388,,0.0,0.0,0.0,0.0,0.0,8.0,0.0,
TSLL,2026-01-31,2026-02-06,,24.5,0.02,0.017,-0.012,0.001,32.0,3.0,1.308,,-0.859,0.045,-0.092,0.005,0.0,6.0,2.291,
TSLL,2026-01-31,2026-02-06,,25.0,0.011,0.011,-0.007,0.001,515.0,41.0,1.249,,0.0,0.0,0.0,0.0,42.0,1.0,0.0,
